Target,Group,Ring,Channel
thermal,1, 3-4,1
CH1_01,2, 5-8,1
CH2_01,3,12-Sep,2
CH1_02,4,13-16,1
CH2_02,5,17-20,2
CH1_03,6,21-24,1
CH2_03,7,25-28,2
CH1_04,8,29-32,1
CH2_04,9,33-36,2
CH1_05,10,37-40,1
CH2_05,11,41-44,2
CH1_06,12,45-48,1
CH2_06,13,49-52,2
CH1_07,14,53-56,1
CH2_07,15,57-60,2
CH1_08,16,61-64,1
CH2_08,17,65-68,2
CH1_09,18,69-72,1
CH2_09,19,73-76,2
CH1_10,20,77-80,1
CH2_10,21,81-84,2
CH1_11,22,85-88,1
CH2_11,23,88-92,2
CH1_12,24,93-96,1
CH2_12,25,97-100,2
CH1_13,26,101-104,1
CH2_13,27,105-108,2
CH1_14,28,109-112,1
CH2_14,29,113-116,2
CH1_15,30,117-120,1
CH2_15,31,121-124,2
CH1_16,32,125-128,1
CH2_16,33,129-132,2
thermal,34,135-136,2
